country,1996,2002,2005,2008,2012,2000,1986,1987,1991,1992,1993,1994,1995,1997,1998,1999,2001,2003,2004,2006,2007,2009,2010,2011,2013,2014,1983,1985,1988,1990,1981,1982,1984,1989
China,71.5,56.4,41.76,32.96,19.05,NA,NA,89.15,NA,NA,82.31,NA,NA,NA,NA,67.18,NA,NA,NA,NA,NA,NA,27.24,22.24,11.09,NA,NA,NA,NA,89.2,99.14,NA,95.87,NA
Colombia,28.22,28.27,22.86,22.76,16.2,27.85,NA,NA,22.7,19.91,NA,NA,NA,NA,NA,33.12,37.07,26.59,26.51,NA,NA,20.4,17.6,15.31,13.79,13.2,NA,NA,25.33,NA,NA,NA,NA,24.4
Comoros,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Congo,NA,NA,71.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,16.03,11.97,9.01,5.88,4.07,13.22,24.12,NA,22.66,18.81,15.78,13.12,13.67,12.95,10.23,12.63,12.34,11.68,11.09,9.47,6.07,6.6,3.92,4.07,3.95,3.93,NA,NA,NA,18.22,55.5,NA,NA,21.23
Cote d'Ivoire,NA,54.79,NA,55.14,NA,NA,16.95,24.3,NA,47.4,NA,NA,48.23,NA,53.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.28,32.4,NA,NA,NA,NA,NA
Croatia,NA,NA,NA,0.12,2.24,0.26,NA,NA,NA,NA,NA,NA,NA,NA,0,0.51,0.29,NA,0.15,NA,NA,0.08,0.05,2,NA,NA,NA,NA,0.08,NA,NA,NA,NA,NA
Czech Republic,0.26,NA,0.06,0.13,0.3,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,0.03,0.08,0.2,0.08,0.13,0.11,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
Democratic Republic of Congo,NA,NA,NA,NA,90.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,NA,46.12,NA,NA,36.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.05,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,12.7,13.62,15.94,13.3,10.22,12.18,60.88,NA,NA,16.65,NA,NA,NA,11.78,NA,NA,11.98,16.86,21.96,13.63,12.94,11.55,11.5,10,9.12,NA,NA,NA,NA,NA,NA,NA,NA,58.8
East Asia & Pacific,68.1,54.81,42.84,35.22,22.05,NA,NA,85.02,NA,NA,77.75,NA,NA,NA,NA,64.8,NA,NA,NA,NA,NA,NA,28.72,24.66,15.98,NA,NA,NA,NA,83.66,93.14,NA,90.16,NA
Ecuador,NA,NA,26.99,20.47,13.97,47.95,NA,39.89,NA,NA,NA,33.94,31.5,NA,34.85,39.06,NA,32.92,30.54,21.1,20.94,20.1,16.91,14.54,11.64,10.22,NA,NA,NA,NA,NA,NA,NA,NA
El Salvador,40.94,23.93,20.88,18.58,13.61,22.73,NA,NA,35.24,NA,NA,NA,38.98,NA,31.78,27.82,24.15,27.25,20.77,17.34,13.94,17.51,18.55,15.04,11.53,11.29,NA,NA,NA,NA,NA,NA,NA,31.52
Estonia,NA,4.96,1.94,0.92,1.61,5.34,NA,NA,NA,NA,5.77,NA,5,NA,3.08,NA,5.23,5.55,3.21,1.46,0.88,1.24,1.82,1.82,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA
